code,description,created_at,updated_at,id
MICRONESIANS,Micronesians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MOLDOVANS,Moldovans,2020-02-02 00:00:00,2020-02-02 00:00:00,
MONEGASQUE PEOPLE,Monegasque people,2020-02-02 00:00:00,2020-02-02 00:00:00,
MONGOLIANS,Mongolians,2020-02-02 00:00:00,2020-02-02 00:00:00,
MOROCCANS,Moroccans,2020-02-02 00:00:00,2020-02-02 00:00:00,
MONTENEGRINS,Montenegrins,2020-02-02 00:00:00,2020-02-02 00:00:00,
MOZAMBICANS,Mozambicans,2020-02-02 00:00:00,2020-02-02 00:00:00,
NAMIBIANS,Namibians,2020-02-02 00:00:00,2020-02-02 00:00:00,
NEPALESE,Nepalese,2020-02-02 00:00:00,2020-02-02 00:00:00,
NEW ZEALANDERS,New Zealanders,2020-02-02 00:00:00,2020-02-02 00:00:00,
NICARAGUANS,Nicaraguans,2020-02-02 00:00:00,2020-02-02 00:00:00,
NIGERIENS,Nigeriens,2020-02-02 00:00:00,2020-02-02 00:00:00,
NIGERIANS,Nigerians,2020-02-02 00:00:00,2020-02-02 00:00:00,
NORWEGIANS,Norwegians,2020-02-02 00:00:00,2020-02-02 00:00:00,
OMANIS,Omanis,2020-02-02 00:00:00,2020-02-02 00:00:00,
PAKISTANIS,Pakistanis,2020-02-02 00:00:00,2020-02-02 00:00:00,
PALAUANS,Palauans,2020-02-02 00:00:00,2020-02-02 00:00:00,
PALESTINIANS,Palestinians,2020-02-02 00:00:00,2020-02-02 00:00:00,
PANAMANIANS,Panamanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
PAPUA NEW GUINEANS,Papua New Guineans,2020-02-02 00:00:00,2020-02-02 00:00:00,
PARAGUAYANS,Paraguayans,2020-02-02 00:00:00,2020-02-02 00:00:00,
PERUVIANS,Peruvians,2020-02-02 00:00:00,2020-02-02 00:00:00,
POLES,Poles,2020-02-02 00:00:00,2020-02-02 00:00:00,
PORTUGUESE,Portuguese,2020-02-02 00:00:00,2020-02-02 00:00:00,
LIST OF PUNJABIS,List of Punjabis,2020-02-02 00:00:00,2020-02-02 00:00:00,
PUERTO RICANS,Puerto Ricans,2020-02-02 00:00:00,2020-02-02 00:00:00,
QATARIS,Qataris,2020-02-02 00:00:00,2020-02-02 00:00:00,
ROMANIANS,Romanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
RUSSIANS,Russians,2020-02-02 00:00:00,2020-02-02 00:00:00,
RWANDANS,Rwandans,2020-02-02 00:00:00,2020-02-02 00:00:00,
SALVADORANS,Salvadorans,2020-02-02 00:00:00,2020-02-02 00:00:00,
SAMMARINESE,Sammarinese,2020-02-02 00:00:00,2020-02-02 00:00:00,
SAUDIS,Saudis,2020-02-02 00:00:00,2020-02-02 00:00:00,
SENEGALESE,Senegalese,2020-02-02 00:00:00,2020-02-02 00:00:00,
SERBS,Serbs,2020-02-02 00:00:00,2020-02-02 00:00:00,
SIERRA LEONEANS,Sierra Leoneans,2020-02-02 00:00:00,2020-02-02 00:00:00,
SINGAPOREANS,Singaporeans,2020-02-02 00:00:00,2020-02-02 00:00:00,
SLOVAKS,Slovaks,2020-02-02 00:00:00,2020-02-02 00:00:00,
SLOVENES,Slovenes,2020-02-02 00:00:00,2020-02-02 00:00:00,
SOMALIS,Somalis,2020-02-02 00:00:00,2020-02-02 00:00:00,
SOUTH AFRICANS,South Africans,2020-02-02 00:00:00,2020-02-02 00:00:00,
SPANISH,Spanish,2020-02-02 00:00:00,2020-02-02 00:00:00,
STATELESS PERSONS,Stateless persons,2020-02-02 00:00:00,2020-02-02 00:00:00,
SRI LANKANS,Sri Lankans,2020-02-02 00:00:00,2020-02-02 00:00:00,
SUDANESE,Sudanese,2020-02-02 00:00:00,2020-02-02 00:00:00,
SWAZIS,Swazis,2020-02-02 00:00:00,2020-02-02 00:00:00,
SWEDES,Swedes,2020-02-02 00:00:00,2020-02-02 00:00:00,
SWISS PEOPLE,Swiss people,2020-02-02 00:00:00,2020-02-02 00:00:00,
SYRIANS,Syrians,2020-02-02 00:00:00,2020-02-02 00:00:00,
TAIWANESE,Taiwanese,2020-02-02 00:00:00,2020-02-02 00:00:00,
TAJIKS,Tajiks,2020-02-02 00:00:00,2020-02-02 00:00:00,
TANZANIANS,Tanzanians,2020-02-02 00:00:00,2020-02-02 00:00:00,
THAIS,Thais,2020-02-02 00:00:00,2020-02-02 00:00:00,
TIBETANS,Tibetans,2020-02-02 00:00:00,2020-02-02 00:00:00,
TOBAGONIANS,Tobagonians,2020-02-02 00:00:00,2020-02-02 00:00:00,
TOGOLESE,Togolese,2020-02-02 00:00:00,2020-02-02 00:00:00,
TONGANS,Tongans,2020-02-02 00:00:00,2020-02-02 00:00:00,
TRINIDADIANS,Trinidadians,2020-02-02 00:00:00,2020-02-02 00:00:00,
TUNISIANS,Tunisians,2020-02-02 00:00:00,2020-02-02 00:00:00,
TURKMEN,Turkmen,2020-02-02 00:00:00,2020-02-02 00:00:00,
TURKS,Turks,2020-02-02 00:00:00,2020-02-02 00:00:00,
TUVALUANS,Tuvaluans,2020-02-02 00:00:00,2020-02-02 00:00:00,
UGANDANS,Ugandans,2020-02-02 00:00:00,2020-02-02 00:00:00,
UKRAINIANS,Ukrainians,2020-02-02 00:00:00,2020-02-02 00:00:00,
URUGUAYANS,Uruguayans,2020-02-02 00:00:00,2020-02-02 00:00:00,
UZBEKS,Uzbeks,2020-02-02 00:00:00,2020-02-02 00:00:00,
VENEZUELANS,Venezuelans,2020-02-02 00:00:00,2020-02-02 00:00:00,
VIETNAMESE,Vietnamese,2020-02-02 00:00:00,2020-02-02 00:00:00,
YEMENIS,Yemenis,2020-02-02 00:00:00,2020-02-02 00:00:00,
ZAMBIANS,Zambians,2020-02-02 00:00:00,2020-02-02 00:00:00,
ZIMBABWEANS,Zimbabweans,2020-02-02 00:00:00,2020-02-02 00:00:00,
