code,description,created_at,updated_at,id,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD006,Bhagalpur,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD007,Bhojpur,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD008,Buxar,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD009,Darbhanga,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD010,East Champaran,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD011,Gaya,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD012,Gopalganj,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD013,Jamui,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD014,Jehanabad,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD015,Kaimur (Bhabua),2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD016,Katihar,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD017,Khagaria,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD018,Kishanganj,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD019,Lakhisarai,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD020,Madhepura,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD021,Madhubani,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD022,Munger,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD023,Muzaffarpur,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD024,Nalanda,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD025,Nawada,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD026,Patna,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD027,Purnia,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD028,Rohtas,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD029,Saharsa,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD030,Samastipur,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD031,Saran,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD032,Sheikhpura,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD033,Sheohar,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD034,Sitamarhi,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD035,Siwan,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD036,Supaul,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD037,Vaishali,2020-02-02 00:00:00,2020-02-02 00:00:00,
